[CURRENT] Sales Transaction Export,,,,,,,,
Oliveseed Foundation,,,,,,,,
"January, 2023-December, 2030",,,,,,,,

Donor,Transaction date,Num,Product/Service full name,Amount,REF #,Line created by,Line created date,Item class
Donor 1674,06/18/2023,Bloom1174 (1),Name 1014,144.15,,Jim Mackraz,06/27/2023 01:32:08 AM,OliveSeed Fdn - Operations
Donor 1675,06/19/2023,Bloom1163 (1),Name 1015,"5,000.00",,Jim Mackraz,06/20/2023 01:33:51 AM,Kenya Region
Donor 1676,06/23/2023,Bloom1175 (1),Name 1016,99.49,,Jim Mackraz,06/27/2023 01:32:08 AM,OliveSeed Fdn - Operations
Donor 1677,06/29/2023,Bloom1177 (1),Name 1017,250.00,,Jim Mackraz,06/30/2023 01:27:07 AM,OliveSeed Fdn - Operations
Donor 1678,06/29/2023,Bloom1178 (1),Name 1018,"1,000.00",,Jim Mackraz,06/30/2023 01:27:07 AM,Kenya Region
Donor 1679,06/29/2023,9004,Name 1019,200.00,32434213,Jim Mackraz,07/19/2023 01:21:00 PM,OliveSeed Fdn - Operations
Donor 1680,06/29/2023,9005,Name 1020,80.01,32455866,Jim Mackraz,07/19/2023 01:23:26 PM,OliveSeed Fdn - Operations
Donor 1681,07/01/2023,Bloom1179 (1),Name 1021,100.00,,Jim Mackraz,07/02/2023 01:36:12 AM,OliveSeed Fdn - Operations
Donor 1682,07/01/2023,Bloom1180 (1),Name 1022,160.00,,Jim Mackraz,07/02/2023 01:36:13 AM,OliveSeed Fdn - Operations
Donor 1683,07/05/2023,Bloom1181 (1),Name 1023,410.00,,Jim Mackraz,07/06/2023 01:25:31 AM,OliveSeed Fdn - Operations
Donor 1684,07/05/2023,Bloom1182 (1),Name 1024,40.00,,Jim Mackraz,07/06/2023 01:25:32 AM,OliveSeed Fdn - Operations
Donor 1685,07/05/2023,Bloom1183 (1),Name 1025,80.00,,Jim Mackraz,07/06/2023 01:25:32 AM,OliveSeed Fdn - Operations
Donor 1686,07/05/2023,9006,Name 1026,40.00,32483087,Jim Mackraz,07/19/2023 01:26:35 PM,OliveSeed Fdn - Operations
Donor 1687,07/05/2023,9007,Name 1027,39.87,,Jim Mackraz,07/19/2023 02:16:01 PM,OliveSeed Fdn - Operations
Donor 1688,07/05/2023,9061,Name 1028,75.00,,Jim Mackraz,11/06/2023 08:16:47 PM,Community Libraries
Donor 1689,07/05/2023,9062,Name 1029,30.00,,Jim Mackraz,11/06/2023 08:17:29 PM,Community Libraries
Donor 1690,07/05/2023,9063,Name 1030,100.00,,Jim Mackraz,11/06/2023 08:18:10 PM,Community Libraries
Donor 1691,07/05/2023,9064,Name 1031,25.00,,Jim Mackraz,11/06/2023 08:19:02 PM,Community Libraries
Donor 1692,07/05/2023,9065,Name 1032,100.00,,Jim Mackraz,11/06/2023 08:20:14 PM,Community Libraries
Donor 1693,07/05/2023,9066,Name 1033,50.00,,Jim Mackraz,11/06/2023 08:21:59 PM,Community Libraries
Donor 1694,07/05/2023,9067,Name 1034,25.00,,Jim Mackraz,11/06/2023 08:22:54 PM,Community Libraries
Donor 1695,07/06/2023,9051,Name 1035,100.00,4N0RZ3DEEV,Stephanie Gray,10/22/2023 11:05:53 AM,OliveSeed Fdn - Operations
Donor 1696,07/06/2023,9052,Name 1036,100.00,4N0RZ3DEEV,Stephanie Gray,10/22/2023 01:52:58 PM,OliveSeed Fdn - Operations
Donor 1697,07/06/2023,9068,Name 1037,55.00,,Jim Mackraz,11/06/2023 08:25:17 PM,Community Libraries
Donor 1698,07/06/2023,9069,Name 1038,20.00,,Jim Mackraz,11/06/2023 08:26:07 PM,Community Libraries
Donor 1699,07/06/2023,9070,Name 1039,65.00,,Jim Mackraz,11/06/2023 08:26:46 PM,Community Libraries
Donor 1700,07/07/2023,9001,Name 1040,"32,000.00",13505232,Jim Mackraz,07/17/2023 05:00:00 PM,OliveSeed Fdn - Operations
Donor 1701,07/07/2023,9008,Name 1041,47.46,32538990,Jim Mackraz,07/19/2023 02:18:33 PM,OliveSeed Fdn - Operations
Donor 1702,07/07/2023,9009,Name 1042,96.02,32540437,Jim Mackraz,07/19/2023 02:22:23 PM,OliveSeed Fdn - Operations
