Name,Donating Company,Donor's First Name,Donor's Last Name,Donor Email,Make Donation Anonymous,Campaign,Amount,Fair Market Value,Fair Market Value Description,Tax Deductible Amount,Currency,Amount in USD,Processing Fee,Platform Fee,Tax Fee,Total Fee,Net Amount,Converted Net Amount,Net amount in USD,Fee Covered,Donor Comment,Internal Notes,Donated At,Phone,Address,Address 2,City,State / Province,Postal Code,Country,Employer,Occupation,Designation,Receipt Id,Donation Type,Card Type,Last 4 Digits,Stripe Charge Id,Pay Pal Transaction Id,Pay Pal Capture Id,Recurring Donation,Recurring Plan Id,Recurring Start Date,Join Mailing List,Dedication Type,Honoree Name,Recipient Name,Recipient Email,Recipient Address,Recipient Message,First Donation,Fundraiser,Donor Id,Status,Would you like to receive occasional updates from us? You can unsubscribe at any time.
Name 186,Company 38,Name 187,Name 188,Email 75,no,Kenya School Projects,10.00,0.00,,10.00,USD,10.00,0.62,0.15,,0.77,9.23,9.23,9.23,no,Comment 38,,04/10/23 09:15:25,,Address 112,Address 113,Johannesburg,Gauteng,,South Africa,,,OliveSeed Kenya,30253523,stripe,mastercard,0994,ch_3MvNNKLpAglNISLQ0MjUl5Xt,,,yes,544437,2021-07-10,no,,Name 189,Name 190,Email 76,Address 114,,,,3320835,paid,yes
Name 191,Company 39,Name 192,Name 193,Email 77,no,OliveSeed Monthly Giving,5.49,0.00,,5.49,USD,5.49,0.6,,,0.60,4.89,,4.89,yes,Comment 39,,04/16/23 03:41:35,,Address 115,Address 116,West Tisbury,MA,02568,United States,,,,30405667,paypal,,,,4EV055233P7999338,,yes,385997,2020-12-16,yes,,Name 194,Name 195,Email 78,Address 117,,,,3759057,paid,
Name 196,Company 40,Name 197,Name 198,Email 79,no,Oliveseed,150.00,0.00,,150.00,USD,150.00,3.6,2.25,,5.85,144.15,144.15,144.15,no,Comment 40,,04/18/23 09:18:16,,Address 118,Address 119,,,,,,,Area of greatest need,30473491,stripe,visa,6525,ch_3MyHETLpAglNISLQ15BMEWDP,,,yes,240611,2020-05-18,no,,Name 199,Name 200,Email 80,Address 120,,,,1261311,paid,
Name 201,Company 41,Name 202,Name 203,Email 81,no,Oliveseed,103.62,0.00,,103.62,USD,103.62,2.58,1.55,,4.13,99.49,99.49,99.49,no,Comment 41,,04/23/23 09:29:08,,Address 121,Address 122,,,,,,,,30605809,stripe,visa,1435,ch_3N05mjLpAglNISLQ08EqJLrg,,,yes,66328,2018-10-22,yes,,Name 204,Name 205,Email 82,Address 123,,,,848386,paid,
Name 206,Company 42,Name 207,Name 208,Email 83,no,OliveSeed Monthly Giving,41.72,0.00,,41.72,USD,41.72,1.22,0.63,,1.85,39.87,39.87,39.87,yes,Comment 42,,05/07/23 09:22:07,,Address 124,Address 125,Menlo Park,CA,94025,United States,,,,30971043,stripe,visa,4902,ch_3N5ALbLpAglNISLQ1a6Uhxvl,,,yes,525934,2021-06-07,yes,,Name 209,Name 210,Email 84,Address 126,,,,4848629,paid,
Name 211,Company 43,Name 212,Name 213,Email 85,no,Kenya School Projects,10.00,0.00,,10.00,USD,10.00,0.62,0.15,,0.77,9.23,9.23,9.23,no,Comment 43,,05/10/23 17:58:03,,Address 127,Address 128,Johannesburg,Gauteng,,South Africa,,,OliveSeed Kenya,31043903,stripe,mastercard,0994,ch_3N6NpXLpAglNISLQ1jzOBXdI,,,yes,544437,2021-07-10,no,,Name 214,Name 215,Email 86,Address 129,,,,3320835,paid,yes
Name 216,Company 44,Name 217,Name 218,Email 87,no,OliveSeed Monthly Giving,5.49,0.00,,5.49,USD,5.49,0.6,,,0.60,4.89,,4.89,yes,Comment 44,,05/16/23 03:50:33,,Address 130,Address 131,West Tisbury,MA,02568,United States,,,,31170969,paypal,,,,59V19586W7021703K,,yes,385997,2020-12-16,yes,,Name 219,Name 220,Email 88,Address 132,,,,3759057,paid,
Name 221,Company 45,Name 222,Name 223,Email 89,no,Oliveseed,150.00,0.00,,150.00,USD,150.00,3.6,2.25,,5.85,144.15,144.15,144.15,no,Comment 45,,05/18/23 09:15:03,,Address 133,Address 134,,,,,,,Area of greatest need,31229255,stripe,visa,6525,ch_3N99ToLpAglNISLQ1fYJqVIY,,,yes,240611,2020-05-18,no,,Name 224,Name 225,Email 90,Address 135,,,,1261311,paid,
Name 226,Company 46,Name 227,Name 228,Email 91,no,Oliveseed,103.62,0.00,,103.62,USD,103.62,2.58,1.55,,4.13,99.49,99.49,99.49,no,Comment 46,,05/23/23 09:28:36,,Address 136,Address 137,,,,,,,,31350476,stripe,visa,1435,ch_3NAy4eLpAglNISLQ0g3hpJoH,,,yes,66328,2018-10-22,yes,,Name 229,Name 230,Email 92,Address 138,,,,848386,paid,
Name 231,Company 47,Name 232,Name 233,Email 93,no,Oliveseed General Campaign,529.91,0.00,,529.91,USD,529.91,18.55,7.95,,26.50,503.41,503.41,503.41,yes,Comment 47,,05/31/23 21:41:09,,Address 139,Address 140,Palo Alto,CA,94306,United States,,,,31560787,stripe,amex,1003,ch_3NE3JyLpAglNISLQ1fAIeZPm,,,no,,,no,,Name 234,Name 235,Email 94,Address 141,,,,1622931,paid,
Name 236,Company 48,Name 237,Name 238,Email 95,no,OliveSeed Monthly Giving,41.72,0.00,,41.72,USD,41.72,1.22,0.63,,1.85,39.87,39.87,39.87,yes,Comment 48,,06/07/23 09:14:45,,Address 142,Address 143,Menlo Park,CA,94025,United States,,,,31740212,stripe,visa,4902,ch_3NGP0TLpAglNISLQ0YMTcQds,,,yes,525934,2021-06-07,yes,,Name 239,Name 240,Email 96,Address 144,,,,4848629,paid,
Name 241,Company 49,Name 242,Name 243,Email 97,no,Kenya School Projects,10.00,0.00,,10.00,USD,10.00,0.62,0.15,,0.77,9.23,9.23,9.23,no,Comment 49,,06/10/23 09:09:45,,Address 145,Address 146,Johannesburg,Gauteng,,South Africa,,,OliveSeed Kenya,31817079,stripe,mastercard,0994,ch_3NHUMHLpAglNISLQ1tAlcnsV,,,yes,544437,2021-07-10,no,,Name 244,Name 245,Email 98,Address 147,,,,3320835,paid,yes
Name 246,Company 50,Name 247,Name 248,Email 99,no,OliveSeed Monthly Giving,5.49,0.00,,5.49,USD,5.49,0.6,,,0.60,4.89,,4.89,yes,Comment 50,,06/16/23 04:01:57,,Address 148,Address 149,West Tisbury,MA,02568,United States,,,,31964799,paypal,,,,0XG2427015864500P,,yes,385997,2020-12-16,yes,,Name 249,Name 250,Email 100,Address 150,,,,3759057,paid,
Name 251,Company 51,Name 252,Name 253,Email 101,no,Oliveseed,150.00,0.00,,150.00,USD,150.00,3.6,2.25,,5.85,144.15,144.15,144.15,no,Comment 51,,06/18/23 09:10:20,,Address 151,Address 152,,,,,,,Area of greatest need,32021256,stripe,visa,6525,ch_3NKOBFLpAglNISLQ1ev30eG9,,,yes,240611,2020-05-18,no,,Name 254,Name 255,Email 102,Address 153,,,,1261311,paid,
Name 256,Company 52,Name 257,Name 258,Email 103,no,Oliveseed,103.62,0.00,,103.62,USD,103.62,2.58,1.55,,4.13,99.49,99.49,99.49,no,Comment 52,,06/23/23 09:21:02,,Address 154,Address 155,,,,,,,,32146588,stripe,visa,1435,ch_3NMCjKLpAglNISLQ15cSArJ8,,,yes,66328,2018-10-22,yes,,Name 259,Name 260,Email 104,Address 156,,,,848386,paid,
Name 261,Company 53,Name 262,Name 263,Email 105,no,Oliveseed General Campaign,41.85,0.00,,41.85,USD,41.85,1.22,0.63,,1.85,40.00,40.00,40.00,yes,Comment 53,,06/29/23 16:17:59,,Address 157,Address 158,San Francisco,CA,94117,United States,,,,32309486,stripe,visa,2633,ch_3NOU68LpAglNISLQ0fBYEhxR,,,no,,,yes,,Name 264,Name 265,Email 106,Address 159,,yes,,9129147,paid,
Name 266,Company 54,Name 267,Name 268,Email 107,no,Oliveseed General Campaign,249.19,0.00,,249.19,USD,249.19,5.45,3.74,,9.19,240.00,,240.00,yes,Comment 54,,07/01/23 17:42:06,,Address 160,Address 161,Woodside,CA,94062,United States,,,,32380512,paypal_express,,,,5UN70358YY4069317,24007380VW066240V,no,,,no,,Name 269,Name 270,Email 108,Address 162,,yes,,9141680,paid,
Name 271,Company 55,Name 272,Name 273,Email 109,no,Oliveseed General Campaign,200.00,0.00,,200.00,USD,200.00,4.47,3.00,,7.47,192.53,,192.53,no,Comment 55,,07/03/23 21:06:57,,Address 163,Address 164,Tiburon,CA,94920,United States,,,,32434213,paypal_express,,,,91171370TG1961009,1E5742181M8367028,no,,,yes,,Name 274,Name 275,Email 110,Address 165,,yes,,9151569,paid,
Name 276,Company 56,Name 277,Name 278,Email 111,no,Oliveseed General Campaign,83.39,0.00,,83.39,USD,83.39,2.13,1.25,,3.38,80.01,80.01,80.01,yes,Comment 56,,07/04/23 17:28:20,,Address 166,Address 167,Palo Alto,,94306,United States,,,,32455866,stripe,visa,8642,ch_3NQJZxLpAglNISLQ15dYudQY,,,no,,,yes,,Name 279,Name 280,Email 112,Address 168,,yes,,9155177,paid,
Name 281,Company 57,Name 282,Name 283,Email 113,no,Oliveseed General Campaign,41.95,0.00,,41.95,USD,41.95,1.32,0.63,,1.95,40.00,,40.00,yes,Comment 57,,07/05/23 20:54:56,,Address 169,Address 170,Los Altos,CA,94024,United States,,,,32483087,paypal_express,,,,05X42992NG6339354,5CT150867W4551429,no,,,no,,Name 284,Name 285,Email 114,Address 171,,yes,,9160435,paid,
